id,completed,ants,randomJumpChance,evaporationRate,minIntensity,maxIntensity,moves,falls,jumps,time,totalTime
11,0,10,0.005,0.5,30,2000,1,38367,245531,55969.3,524288
11,0,10,0.005,0.5,30,2000,1,36050,375711,85666.3,524288
11,0,10,0.005,0.5,30,2000,1,42737,252927,62068,524288
11,0,10,0.005,0.5,30,2000,1,46203,355589,82277.8,524288
11,0,10,0.005,0.5,30,2000,1,51311,251062,57979.6,524288
11,0,10,0.005,0.5,30,2000,1,42559,246127,66869.8,524288
11,0,10,0.005,0.5,30,2000,1,97489,224788,42101.5,524288
11,0,10,0.005,0.5,30,2000,1,38487,238542,52081.5,524288
11,0,10,0.005,0.5,30,2000,1,56168,240832,53309.9,524288
11,0,10,0.005,0.5,30,2000,1,42266,404175,75123.7,524288
12,0,10,0.005,1,10,500,1,56390,351836,120683,524288
12,0,10,0.005,1,10,500,1,56168,357809,123183,524288
12,0,10,0.005,1,10,500,1,62509,299516,100167,524288
12,0,10,0.005,1,10,500,1,51898,289351,98906.3,524288
12,0,10,0.005,1,10,500,1,54211,357366,120411,524288
12,0,10,0.005,1,10,500,1,58548,344263,117691,524288
12,0,10,0.005,1,10,500,1,50983,318801,100910,524288
12,0,10,0.005,1,10,500,1,52937,314979,102415,524288
12,0,10,0.005,1,10,500,1,60186,327696,113862,524288
12,0,10,0.005,1,10,500,1,48406,442883,136803,524288
12,0,10,0.005,1,10,500,1,62723,309343,104630,524288
12,0,10,0.005,1,10,500,1,47145,451275,142325,524288
12,0,10,0.005,1,10,500,1,47791,315614,102273,524288
12,0,10,0.005,1,10,500,1,51169,417585,130264,524288
12,0,10,0.005,1,10,500,1,60810,303017,102998,524288
12,0,10,0.005,1,10,500,1,52015,334914,109318,524288
12,1,10,0.005,1,10,500,29,330,2586,661.11,6585.56
12,0,10,0.005,1,10,500,1,51727,400562,127359,524288
12,0,10,0.005,1,10,500,1,48898,293669,95457.3,524288
12,0,10,0.005,1,10,500,1,61599,359044,116677,524288
12,0,10,0.005,1,10,500,1,45475,382142,116539,524288
12,0,10,0.005,1,10,500,1,50499,291863,97388.1,524288
12,0,10,0.005,1,10,500,1,49640,297159,96829.3,524288
12,0,10,0.005,1,10,500,1,57208,325728,110434,524288
13,0,10,0.005,1,10,1000,1,38224,463843,153058,524288
13,0,10,0.005,1,10,1000,1,63605,316056,104614,524288
13,0,10,0.005,1,10,1000,1,59257,419320,148883,524288
13,0,10,0.005,1,10,1000,1,61953,378795,134917,524288
13,0,10,0.005,1,10,1000,1,58583,380568,131226,524288
13,0,10,0.005,1,10,1000,1,57396,324884,113703,524288
13,0,10,0.005,1,10,1000,1,63413,288179,98549.9,524288
13,0,10,0.005,1,10,1000,1,47587,426379,138617,524288
13,0,10,0.005,1,10,1000,1,67141,277549,98374.9,524288
13,0,10,0.005,1,10,1000,1,46437,465271,152557,524288
13,0,10,0.005,1,10,1000,1,58559,322071,104941,524288
13,0,10,0.005,1,10,1000,1,52769,413106,138048,524288
13,0,10,0.005,1,10,1000,1,48933,493843,180563,524288
13,0,10,0.005,1,10,1000,1,54969,375646,129970,524288
13,1,10,0.005,1,10,1000,27,794,5877,1443.49,14352.2
13,0,10,0.005,1,10,1000,1,61805,393665,133552,524288
13,0,10,0.005,1,10,1000,1,51899,431325,156010,524288
13,1,10,0.005,1,10,1000,27,505,4182,962.436,9576.84
13,0,10,0.005,1,10,1000,1,50968,295787,93535.7,524288
13,0,10,0.005,1,10,1000,1,65450,301830,100806,524288
13,0,10,0.005,1,10,1000,1,49295,436117,142930,524288
13,0,10,0.005,1,10,1000,1,56816,424456,156472,524288
13,0,10,0.005,1,10,1000,1,60019,352308,120470,524288
13,0,10,0.005,1,10,1000,1,50683,247521,72135,524288
14,0,10,0.005,1,10,1500,1,53140,451013,164583,524288
14,0,10,0.005,1,10,1500,1,11100,732733,329034,524288
14,0,10,0.005,1,10,1500,1,60574,354769,120957,524288
14,0,10,0.005,1,10,1500,1,55670,359862,125629,524288
14,0,10,0.005,1,10,1500,1,11710,716774,315907,524288
14,0,10,0.005,1,10,1500,1,12613,713536,306348,524288
14,0,10,0.005,1,10,1500,1,55880,324550,110771,524288
14,0,10,0.005,1,10,1500,1,30016,536353,148079,524288
14,0,10,0.005,1,10,1500,1,64092,296315,95702.3,524288
14,0,10,0.005,1,10,1500,1,11038,733001,330015,524288
14,0,10,0.005,1,10,1500,1,17387,700747,300044,524288
14,0,10,0.005,1,10,1500,1,11727,716173,316407,524288
14,0,10,0.005,1,10,1500,1,52283,321804,95700.7,524288
14,0,10,0.005,1,10,1500,1,10926,762615,352286,524288
14,0,10,0.005,1,10,1500,1,61547,306685,100343,524288
14,0,10,0.005,1,10,1500,1,11201,709517,310991,524288
14,0,10,0.005,1,10,1500,1,11020,746922,339085,524288
14,0,10,0.005,1,10,1500,1,43537,258199,82991.1,524288
14,0,10,0.005,1,10,1500,1,16161,689614,290627,524288
14,0,10,0.005,1,10,1500,1,21074,703856,299950,524288
14,0,10,0.005,1,10,1500,1,52951,391215,136154,524288
14,0,10,0.005,1,10,1500,1,65264,283221,97367.6,524288
14,0,10,0.005,1,10,1500,1,43037,468045,141261,524288
14,0,10,0.005,1,10,1500,1,46318,421348,130702,524288
15,0,10,0.005,1,10,2000,1,53037,368699,123860,524288
15,0,10,0.005,1,10,2000,1,10928,697277,301709,524288
15,0,10,0.005,1,10,2000,1,10803,727638,325109,524288
15,0,10,0.005,1,10,2000,1,28924,367068,128716,524288
15,0,10,0.005,1,10,2000,1,10487,635924,256847,524288
15,0,10,0.005,1,10,2000,1,10838,675090,282583,524288
15,0,10,0.005,1,10,2000,1,52213,337796,114967,524288
15,0,10,0.005,1,10,2000,1,10432,720146,315365,524288
15,0,10,0.005,1,10,2000,1,53758,363983,122569,524288
15,0,10,0.005,1,10,2000,1,10742,748795,341120,524288
15,0,10,0.005,1,10,2000,1,17246,541383,212195,524288
15,0,10,0.005,1,10,2000,1,57940,356666,127952,524288
15,0,10,0.005,1,10,2000,1,51788,333985,115230,524288
15,0,10,0.005,1,10,2000,1,34538,371813,112896,524288
15,0,10,0.005,1,10,2000,1,50598,335348,112465,524288
15,0,10,0.005,1,10,2000,1,10969,676745,284196,524288
