id,completed,agents,randomJumpChance,learningRate,discountFactor,epsilon,moves,falls,jumps,time,totalTime
65,1,75,0.01,0.1,0.1,0.15,21,11074,71119,1897.17,135799
65,1,75,0.01,0.1,0.1,0.15,22,19237,110981,3075.55,218902
65,1,75,0.01,0.1,0.1,0.15,22,9376,66367,1891.53,135404
66,0,75,0.01,0.1,0.2,0.05,1,11501,75020,3506.75,249339
66,1,75,0.01,0.1,0.2,0.05,26,2433,14175,334.421,25456.6
66,1,75,0.01,0.1,0.2,0.05,23,1270,11704,306.276,23234
66,1,75,0.01,0.1,0.2,0.05,23,5340,37416,833.38,61255.8
67,1,75,0.01,0.1,0.2,0.1,23,6867,49568,1129.44,82001.7
67,1,75,0.01,0.1,0.2,0.1,27,1376,12075,290.701,22005
67,0,75,0.01,0.1,0.2,0.1,1,7720,58647,3579.51,254475
67,1,75,0.01,0.1,0.2,0.1,23,2998,22382,544.647,41023.8
68,1,75,0.01,0.1,0.2,0.15,23,4873,31431,885.14,64882.3
68,0,75,0.01,0.1,0.2,0.15,1,14521,94600,3298.88,234666
68,1,75,0.01,0.1,0.2,0.15,25,2470,19670,481.854,36619.5
68,0,75,0.01,0.1,0.2,0.15,1,16950,115150,3293.2,234265
69,1,75,0.01,0.1,0.3,0.05,25,2031,10091,234.796,17589.1
69,0,75,0.01,0.1,0.3,0.05,1,17506,118888,3156.44,224611
69,1,75,0.01,0.1,0.3,0.05,25,1640,15194,375.636,28711.7
69,1,75,0.01,0.1,0.3,0.05,25,3219,33137,778.794,57430.6
70,1,75,0.01,0.1,0.3,0.1,24,4758,33942,797.274,58726
70,1,75,0.01,0.1,0.3,0.1,26,1055,9528,224.346,16763.4
70,1,75,0.01,0.1,0.3,0.1,24,2145,12019,306.86,23280.6
70,1,75,0.01,0.1,0.3,0.1,25,2282,16422,396.169,30333.6
71,1,75,0.01,0.1,0.3,0.15,25,1247,9942,258.584,19468.5
71,1,75,0.01,0.1,0.3,0.15,25,4079,25691,632.128,47153.7
71,0,75,0.01,0.1,0.3,0.15,1,14419,109205,3429.63,243896
71,1,75,0.01,0.1,0.3,0.15,22,7596,52022,1281.44,92652.4
72,1,75,0.01,0.15,0.1,0.05,24,4034,32531,739.795,54697.6
72,0,75,0.01,0.15,0.1,0.05,1,15418,132601,3035.15,216049
72,1,75,0.01,0.15,0.1,0.05,26,1709,16809,390.81,29911
72,1,75,0.01,0.15,0.1,0.05,24,1406,13080,301.001,22818.4
73,1,75,0.01,0.15,0.1,0.1,24,3526,26433,639.904,47698.3
73,1,75,0.01,0.15,0.1,0.1,25,1032,9322,233.277,17469.8
73,1,75,0.01,0.15,0.1,0.1,24,1148,10369,249.77,18771.9
73,1,75,0.01,0.15,0.1,0.1,26,3291,32231,788.009,58076.6
74,1,75,0.01,0.15,0.1,0.15,22,4196,29900,822.209,60472.9
74,0,75,0.01,0.15,0.1,0.15,1,5400,41704,3247.38,231031
74,1,75,0.01,0.15,0.1,0.15,23,6473,47468,1184.04,85827.6
74,1,75,0.01,0.15,0.1,0.15,22,4103,29979,738.574,54612.3
75,1,75,0.01,0.15,0.2,0.05,27,1929,18534,403.063,30878.6
75,1,75,0.01,0.15,0.2,0.05,24,2115,13327,309.498,23488.8
75,0,75,0.01,0.15,0.2,0.05,1,3050,34115,3261.92,232057
75,1,75,0.01,0.15,0.2,0.05,24,2030,19015,456.965,34872.2
76,1,75,0.01,0.15,0.2,0.1,25,2052,13956,320.933,24392.1
76,1,75,0.01,0.15,0.2,0.1,22,10779,70774,1738.76,124699
76,1,75,0.01,0.15,0.2,0.1,25,1375,12711,311.551,23651.3
76,1,75,0.01,0.15,0.2,0.1,22,5623,38866,1793.3,128521
77,1,75,0.01,0.15,0.2,0.15,23,9875,63638,1586.26,114013
77,1,75,0.01,0.15,0.2,0.15,22,2761,22586,563.996,42379.6
77,0,75,0.01,0.15,0.2,0.15,1,19140,121004,3339.07,237503
77,0,75,0.01,0.15,0.2,0.15,1,17108,114498,3294.78,234376
