id,completed,bots,epsilon,moves,falls,jumps,time,totalTime
18,1,20,0.3,79,623,1580,175.719,3507.98
18,1,20,0.3,3705,26665,74100,7532.81,144326
18,1,20,0.3,733,5516,14660,1545.29,31554.5
18,1,20,0.3,638,4746,12760,1352,27490.9
18,1,20,0.3,1099,8116,21980,2301.34,45851.5
18,1,20,0.3,792,5612,15840,1668.58,33993.1
18,1,20,0.3,654,4865,13080,1368.94,27847
19,0,20,0.35,5224,38057,104500,10555.2,201218
19,1,20,0.35,2066,14610,41320,4123.93,80159.3
19,1,20,0.35,1426,10485,28520,2942.48,57920.1
19,1,20,0.35,4100,28874,82000,8246.79,157766
19,0,20,0.35,5471,38877,109440,10980.1,209216
19,1,20,0.35,1563,10867,31260,3086.99,60640.6
19,0,20,0.35,5712,39486,114260,11192.9,213222
19,1,20,0.35,4035,28452,80700,8139.79,155752
19,1,20,0.35,2204,15817,44080,4437.61,86063.7
19,0,20,0.35,5648,40461,112980,11208.1,213509
19,0,20,0.35,5310,38930,106220,10888.7,207496
19,0,20,0.35,5608,39326,112180,11163.1,212661
19,0,20,0.35,5446,38838,108940,11025.3,210068
19,0,20,0.35,5635,40076,112720,11238.1,214073
19,0,20,0.35,5575,39555,111520,11194.3,213248
19,0,20,0.35,5632,39552,112652,11233,213977
19,1,20,0.35,4687,33402,93740,9388.65,179260
19,1,20,0.35,4199,29672,83980,8304.32,158849
19,0,20,0.35,5731,40183,114635,11299.6,215231
19,1,20,0.35,2337,16677,46740,4585.96,88856.4
19,1,20,0.35,424,3009,8480,877.681,17519.9
19,1,20,0.35,2641,19046,52820,5372.86,103669
19,0,20,0.35,5601,40053,112020,11226.1,213847
19,0,20,0.35,5714,39899,114300,11267,214617
20,0,20,0.4,5704,39582,114100,11283.8,214933
20,0,20,0.4,5621,39412,112440,11083.8,211170
20,1,20,0.4,4978,34736,99560,9859.09,188115
20,0,20,0.4,5795,40004,115910,11371.5,216585
20,0,20,0.4,5512,39508,110260,11116.4,211783
20,1,20,0.4,1914,13626,38280,3825.99,74551
20,0,20,0.4,5722,40457,114460,11270,214674
20,1,20,0.4,600,4152,12000,1227.44,24872.6
20,0,20,0.4,5901,40356,118040,11580.7,220522
20,0,20,0.4,5695,39921,113920,11246,214222
20,0,20,0.4,5860,40389,117220,11494.3,218896
20,0,20,0.4,5690,39669,113820,11278.6,214835
20,0,20,0.4,5703,38586,114080,11292.4,215095
20,0,20,0.4,5820,40493,116411,11400.2,217125
20,0,20,0.4,5736,39601,114740,11361.2,216390
20,0,20,0.4,5872,39891,117460,11450.3,218068
20,1,20,0.4,5609,38083,112180,11038.3,210311
20,1,20,0.4,5647,40395,112940,11247.8,214256
20,0,20,0.4,5747,39780,114960,11347.5,216132
20,1,20,0.4,1760,12606,35200,3526.59,68915.2
20,0,20,0.4,5732,40096,114660,11353.2,216241
20,1,20,0.4,3516,22829,70320,6800.02,130533
20,1,20,0.4,3375,23026,67500,6703.33,128712
20,0,20,0.4,5604,38946,112100,11211.4,213571
21,1,20,0.45,4572,31309,91440,8978.41,171538
21,0,20,0.45,5862,39999,117260,11468.8,218416
21,1,20,0.45,159,1005,3180,354.119,7056.21
