id,ukoñczony poziom,agenci,prawdopodobieñstwo losowego skoku,wspó³czynnik uczenia,wspó³czynnik dyskontowy,epsilon,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
67,1,75,0.01,0.1,0.2,0.1,0,23,44.15195839,2998,22382,544.647
68,1,75,0.01,0.1,0.2,0.15,0,23,44.10824911,4873,31431,885.14
68,0,75,0.01,0.1,0.2,0.15,0,1,1.919674207,14521,94600,3298.88
68,1,75,0.01,0.1,0.2,0.15,0,25,47.32896791,2470,19670,481.854
68,0,75,0.01,0.1,0.2,0.15,0,1,1.935405023,16950,115150,3293.2
69,1,75,0.01,0.1,0.3,0.05,0,25,47.68468269,2031,10091,234.796
69,0,75,0.01,0.1,0.3,0.05,0,1,1.960682669,17506,118888,3156.44
69,1,75,0.01,0.1,0.3,0.05,0,25,46.85250706,1640,15194,375.636
69,1,75,0.01,0.1,0.3,0.05,0,25,46.94792529,3219,33137,778.794
70,1,75,0.01,0.1,0.3,0.1,0,24,46.20590185,4758,33942,797.274
70,1,75,0.01,0.1,0.3,0.1,0,26,51.23775362,1055,9528,224.346
70,1,75,0.01,0.1,0.3,0.1,0,24,46.37677992,2145,12019,306.86
70,1,75,0.01,0.1,0.3,0.1,0,25,46.56051631,2282,16422,396.169
71,1,75,0.01,0.1,0.3,0.15,0,25,49.75810987,1247,9942,258.584
71,1,75,0.01,0.1,0.3,0.15,0,25,47.1922273,4079,25691,632.128
71,0,75,0.01,0.1,0.3,0.15,0,1,1.93714603,14419,109205,3429.63
71,1,75,0.01,0.1,0.3,0.15,0,22,40.78760242,7596,52022,1281.44
72,1,75,0.01,0.15,0.1,0.05,0,24,45.48621513,4034,32531,739.795
72,0,75,0.01,0.15,0.1,0.05,0,1,1.908392477,15418,132601,3035.15
72,1,75,0.01,0.15,0.1,0.05,0,26,49.6831922,1709,16809,390.81
72,1,75,0.01,0.15,0.1,0.05,0,24,47.53070995,1406,13080,301.001
73,1,75,0.01,0.15,0.1,0.1,0,24,46.53462521,3526,26433,639.904
73,1,75,0.01,0.15,0.1,0.1,0,25,46.69865637,1032,9322,233.277
73,1,75,0.01,0.15,0.1,0.1,0,24,45.56413057,1148,10369,249.77
73,1,75,0.01,0.15,0.1,0.1,0,26,50.77576471,3291,32231,788.009
74,1,75,0.01,0.15,0.1,0.15,0,22,42.76702781,4196,29900,822.209
74,0,75,0.01,0.15,0.1,0.15,0,1,1.864038803,5400,41704,3247.38
74,1,75,0.01,0.15,0.1,0.15,0,23,42.60344493,6473,47468,1184.04
74,1,75,0.01,0.15,0.1,0.15,0,22,41.51098841,4103,29979,738.574
75,1,75,0.01,0.15,0.2,0.05,0,27,50.0588461,1929,18534,403.063
75,1,75,0.01,0.15,0.2,0.05,0,24,46.54758238,2115,13327,309.498
75,0,75,0.01,0.15,0.2,0.05,0,1,1.853842414,3050,34115,3261.92
75,1,75,0.01,0.15,0.2,0.05,0,24,44.64453177,2030,19015,456.965
76,1,75,0.01,0.15,0.2,0.1,0,25,47.79607859,2052,13956,320.933
76,1,75,0.01,0.15,0.2,0.1,0,22,41.81167431,10779,70774,1738.76
76,1,75,0.01,0.15,0.2,0.1,0,25,46.94792295,1375,12711,311.551
76,1,75,0.01,0.15,0.2,0.1,0,22,43.51060376,5623,38866,1793.3
77,1,75,0.01,0.15,0.2,0.15,0,23,42.78473182,9875,63638,1586.26
77,1,75,0.01,0.15,0.2,0.15,0,22,41.79665774,2761,22586,563.996
77,0,75,0.01,0.15,0.2,0.15,0,1,1.874540385,19140,121004,3339.07
77,0,75,0.01,0.15,0.2,0.15,0,1,1.952484192,17108,114498,3294.78
78,1,75,0.01,0.15,0.3,0.05,0,24,46.29350456,1374,13129,314.84
78,1,75,0.01,0.15,0.3,0.05,0,25,48.76906936,735,7330,175.369
78,1,75,0.01,0.15,0.3,0.05,0,27,53.59049912,2130,21733,1368.89
78,1,75,0.01,0.15,0.3,0.05,0,25,48.18757691,973,9639,227.101
