id,ukoñczony poziom,decyzyjne skoki,wartoœæ skoku decyzyjnego,wartoœæ ruchu decyzyjnego,wynikowe ruchy,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
315,0,16,10,0.9,0,0,0,19.2551,79,320,19.2551
316,0,16,10,0.925,0,0,0,9.15154,23,176,9.15154
317,0,16,10,0.95,0,0,0,9.15154,23,176,9.15154
318,0,16,10,0.975,0,0,0,9.15154,23,176,9.15154
319,0,16,10,1,0,0,0,9.15154,23,176,9.15154
320,1,18,10,0.025,78,0,26,171.763,5087,12452,171.763
321,1,18,10,0.05,68,0,26,149.144,3680,9320,149.144
322,1,18,10,0.075,50,0,26,109.422,2466,6260,109.422
323,1,18,10,0.1,47,0,26,103.31,2222,5558,103.31
324,1,18,10,0.125,42,0,26,93.3396,1670,4280,93.3396
325,1,18,10,0.15,43,0,25,97.1975,1566,3980,97.1975
326,1,18,10,0.175,41,0,26,93.206,1343,3360,93.206
327,1,18,10,0.2,39,0,26,87.3607,1252,3100,87.3607
328,1,18,10,0.225,41,0,25,92.1204,1136,2800,92.1204
329,1,18,10,0.25,40,0,26,89.5485,950,2460,89.5485
330,1,18,10,0.275,37,0,27,83.3359,903,2320,83.3359
331,1,18,10,0.3,37,0,26,83.1855,858,2204,83.1855
332,1,18,10,0.325,38,0,28,86.6259,866,2140,86.6259
333,1,18,10,0.35,36,0,26,80.4633,822,2020,80.4633
334,0,18,10,0.375,0,0,0,50.4855,400,1200,50.4855
335,1,18,10,0.4,34,0,27,79.1106,706,1840,79.1106
336,1,18,10,0.425,33,0,26,75.9875,635,1660,75.9875
337,1,18,10,0.45,34,0,26,78.6596,640,1620,78.6596
338,1,18,10,0.475,34,0,26,77.4572,596,1520,77.4572
339,0,18,10,0.5,0,0,0,71.2111,550,1400,71.2111
340,1,18,10,0.525,34,0,26,77.8079,559,1460,77.8079
341,0,18,10,0.55,0,0,0,72.28,525,1340,72.28
342,0,18,10,0.575,0,0,0,75.2026,484,1280,75.2026
343,0,18,10,0.6,0,0,0,75.3696,469,1220,75.3696
344,0,18,10,0.625,0,0,0,72.8144,501,1240,72.8144
345,0,18,10,0.65,0,0,0,72.8144,468,1200,72.8144
346,0,18,10,0.675,0,0,0,72.2299,440,1160,72.2299
347,0,18,10,0.7,0,0,0,70.2926,474,1200,70.2926
348,0,18,10,0.725,0,0,0,42.3355,252,720,42.3355
349,0,18,10,0.75,0,0,0,43.1372,222,700,43.1372
350,0,18,10,0.775,0,0,0,43.5881,212,680,43.5881
351,0,18,10,0.8,0,0,0,39.3461,213,680,39.3461
